metric,metric_col,spearman,spearman_p,n,n_pairs,fair_mask,mask_n,mask_n_pairs
fluency2-Gemini,fluency2,0.6123842413635193,0.0,3526,12,no_chrf_pp,3526,12
GEMBA-ESA-GPT4.1,gemba_score,0.5474624851248585,5.804980371282309e-275,3526,12,no_chrf_pp,3526,12
MetricX-24-Hybrid-XL,metricx_score,0.517612154940256,5.8043489447621874e-241,3526,12,no_chrf_pp,3526,12
XCOMET-XL,xcomet_score,0.39082109106708013,5.01357922245827e-129,3526,12,no_chrf_pp,3526,12
CometKiwi-XL,cometKiwi_score,0.3370179070490708,2.186450033517932e-94,3526,12,no_chrf_pp,3526,12
chrF++,chrf_pp,0.2814485771277425,2.5681394976115514e-77,4200,11,chrf_pp_own_subset,4200,11
fluency2-Gemini,fluency2,0.615329991634638,0.0,3274,11,with_chrf_pp,3274,11
GEMBA-ESA-GPT4.1,gemba_score,0.5545776237362814,1.858609283746703e-263,3274,11,with_chrf_pp,3274,11
MetricX-24-Hybrid-XL,metricx_score,0.5191754686309851,1.8600333756787984e-225,3274,11,with_chrf_pp,3274,11
XCOMET-XL,xcomet_score,0.37971998721802097,8.627328405217473e-113,3274,11,with_chrf_pp,3274,11
CometKiwi-XL,cometKiwi_score,0.32819977286480884,4.477900782319763e-83,3274,11,with_chrf_pp,3274,11
chrF++,chrf_pp,0.2839367311564041,9.28179314537511e-62,3274,11,with_chrf_pp,3274,11
