metric,spearman,spearman_p,kendall,kendall_p,pa,n
fluency2-GPT5 (1-10),0.624,<0.0001,0.4788,<0.0001,0.7802,808
fluency_mqm_flat-GPT5,0.6143,<0.0001,0.4862,<0.0001,0.7754,808
fluency-MQM-GPT5,0.6012,<0.0001,0.4755,<0.0001,0.7661,808
fluency2-Opus4.7 (1-10),0.5871,<0.0001,0.4468,<0.0001,0.7606,808
fluency-MQM-Gemini,0.5864,<0.0001,0.4713,<0.0001,0.7552,808
fluency2-Gemini (1-10),0.5664,<0.0001,0.4286,<0.0001,0.7505,808
fluency2-GPT4o (1-10),0.5263,<0.0001,0.401,<0.0001,0.7324,808
GEMBA-MQM-GPT4,0.5147,<0.0001,0.4358,<0.0001,0.6984,808
fluency2-GPT4.1 (1-10),0.5071,<0.0001,0.386,<0.0001,0.7241,808
GEMBA-DA-GPT4,0.4703,<0.0001,0.4033,<0.0001,0.6731,808
chrF++,0.3504,<0.0001,0.262,<0.0001,0.6532,808
