pair,syntactic_distance,n,fluency2-Gemini_spearman,fluency2-Gemini_pa,GEMBA-ESA-GPT4.1_spearman,GEMBA-ESA-GPT4.1_pa,MetricX-24-Hybrid-XL_spearman,MetricX-24-Hybrid-XL_pa,XCOMET-XL_spearman,XCOMET-XL_pa,CometKiwi-XL_spearman,CometKiwi-XL_pa,chrF++_spearman,chrF++_pa
EN→uk_UA,0.153,342,0.4219,0.647,0.3791,0.6274,0.3228,0.6123,0.3546,0.6261,0.2751,0.5982,-0.0634,0.4787
EN→is_IS,0.154,252,0.7953,0.8008,0.7378,0.775,0.57,0.7023,0.4783,0.6672,0.4948,0.6751,0.48,0.6712
EN→ru_RU,0.183,288,0.4726,0.6626,0.353,0.6097,0.3796,0.63,0.4218,0.6422,0.2598,0.5892,0.0787,0.5287
EN→sr_Cyrl_RS,0.185,306,0.6228,0.7295,0.5427,0.6948,0.3348,0.6163,0.3621,0.6257,0.3929,0.6391,0.5105,0.6769
EN→et_EE,0.195,288,0.634,0.7283,0.5086,0.6827,0.3261,0.6102,0.4018,0.6374,0.294,0.6013,0.3041,0.6046
EN→zh_CN,0.268,270,0.3501,0.6207,0.344,0.614,0.3179,0.6101,0.2919,0.6001,0.2387,0.581,0.1124,0.5386
EN→cs_CZ,0.335,304,0.5232,0.6874,0.4012,0.6359,0.3876,0.6331,0.2437,0.5832,0.2516,0.587,0.2279,0.5772
EN→bho_IN,0.337,288,0.5895,0.7098,0.4012,0.6404,0.3004,0.6141,-0.1101,0.4645,0.061,0.5271,0.3683,0.63
EN→ar_EG,0.366,342,0.4108,0.6962,0.374,0.6744,-0.3027,0.3632,-0.2647,0.3801,-0.5064,0.2689,0.494,0.7272
EN→mas_KE,0.431,306,0.2308,0.5871,0.3891,0.6964,0.0614,0.5281,0.0026,0.502,-0.011,0.4989,0.1021,0.5515
EN→ja_JP,0.456,288,0.3312,0.6153,0.377,0.6334,0.2865,0.5977,0.2848,0.5979,0.1979,0.5679,0.0437,0.5142
